Title,Equipment,Level,Type_Cardio,Type_Strength,BodyPart_Abdominals,BodyPart_Abductors,BodyPart_Adductors,BodyPart_Biceps,BodyPart_Calves,BodyPart_Chest,BodyPart_Forearms,BodyPart_Glutes,BodyPart_Hamstrings,BodyPart_Lats,BodyPart_Lower Back,BodyPart_Middle Back,BodyPart_Neck,BodyPart_Quadriceps,BodyPart_Shoulders,BodyPart_Traps,BodyPart_Triceps
Partner plank band row,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded crunch isometric hold,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Banded Plank Jack,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded crunch,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunch,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline band press sit-up,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Banded Frog Pump,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Band low-to-high twist,Bands,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell roll-out,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Ab Rollout - On Knees,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline bar press sit-up,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bench barbell roll-out,Barbell,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Side Bend,Barbell,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated bar twist,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm landmine pull and press,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Ab Roll Out - Gethin Variation,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Barbell Floor Wiper,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Barbell Roll-Out,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline plate sit-up,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KV Barbell Hip Thrust,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Kettlebell Windmill,Kettlebells,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell Windmill,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell Pass Between The Legs,Kettlebells,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell 3-point leg extension,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Kettlebell Swing,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burpee over kettlebell,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell toe-touch,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell swing,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two-way swing,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettlebell crab reach,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Single-Arm Kettlebell Swing,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Kettlebell Up to Elbow Down,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Double-Kettlebell Ski,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
